Product,Revenue,Session,Time
MRSBES,143107,3.993582888,7.813575075
BIQLYS,141878,4.025682183,9.125606999
NTESXB,141774,4.406593407,8.595249168
SXBMRS,140068,3.882170543,8.88345183
CDGFDF,139616,3.671428571,6.568929202
TLSNCE,139607,4.097488922,9.314279444
CDGCAN,138463,7.009090909,8.969380627
TLSNTE,138395,4.610904585,9.592736076
OTPCDG,137811,4.375234522,9.699569348
CAYFDF,137456,4.040983607,9.821419644
CDGSEZ,136915,4.627659574,8.634215369
NCETLS,136728,4.310397554,8.98105406
LYSRNS,136539,4.547283702,9.571005896
CDGOSL,136498,4.306010929,8.442302954
CDGCUN,136119,5.112903226,9.617850111
BESLYS,135662,4.360696517,9.143966112
CDGBEG,134972,3.612099644,7.011526593
CDGICN,134687,5.172413793,10.02629426
ORYRDZ,133491,3.698245614,8.012994545
MRSYUL,133208,4.47826087,7.664192171
MRSTUN,133027,4.406832298,8.596353528
NTEMPL,132689,4.254637437,8.576240124
LYSPUF,131802,4.457894737,9.532408013
ORYUIP,131235,4.820143885,10.38106019
CDGSTR,130364,5.032876712,11.01742062
CFEORY,129287,4.230414747,10.30379467
NCERNS,129150,4.576736672,8.821430197
CDGHAN,127844,7.271186441,10.96720209
NTEFDF,127671,5.416666667,8.582588471
CDGKBP,127175,4.903726708,9.961987368
NCERUN,126344,5.037974684,11.01508465
PUFLYS,126273,4.60412758,9.750134233
CDGLED,123609,5.340101523,10.93899924
MLHPTP,122659,5.244897959,8.749337844
NCELYS,122620,4.28241335,10.53878949
RNSNCE,122320,4.330895795,9.0024638
RDZORY,120098,3.637345679,8.223925184
BESCDG,116455,4.6241033,8.878534066
RNSMRS,114827,4.128306878,7.622884175
UIPORY,114617,4.947826087,10.30254986
CDGBIO,114598,3.985163205,8.375992262
LYSAMS,114329,3.841823056,8.858510001
SXMCDG,113722,5.931372549,10.73361015
SXBRUN,113412,4.975609756,8.888155127
GRUCDG,112988,4.625,8.542649184
TLSFCO,112105,4.433915212,8.474318166
MRSALG,111641,4.247637051,6.367786584
LYSJFK,111309,4.926605505,7.51372805
LYSSXB,110794,4.501144165,9.385918772
TLSYUL,110712,5.181818182,9.71263629
LYSNCE,109803,4.397798742,9.564451727
BODJFK,109588,5.097087379,10.10751744
LYSTUN,109431,4.363354037,9.070484105
LYSLRT,108965,4.025171625,8.538765776
CDGBLR,107541,5.118421053,9.081475477
CDGGOT,106901,4.097112861,8.839950012
XYDRUN,105972,3.510869565,7.557859517
SXBORY,105763,4.785511364,10.49266273
CDGEDI,105604,4.433179724,10.15998683
ORYLCY,105448,5.92202729,11.44804758
ORYSXB,105217,5.323741007,10.89988809
CDGVRN,103993,5.515789474,10.87333324
RNSLYS,103862,4,8.615776289
MLHRUN,103631,5.1,9.215302989
MRSIST,103577,4.039548023,7.840410548
CDGNAP,103369,4.755417957,8.904932171
CDGCCS,103089,4.475409836,9.275926442
FDFCAY,102490,4.756097561,11.45148207
CDGAUH,102218,5.2125,9.431511633
CDGPUJ,101447,6.52173913,12.85038911
BESMRS,101340,4.144927536,7.729700076
SXBLYS,100758,4.257907543,9.06813351
LYSCFR,99782,4.248062016,8.63417812
CDGNIM,98826,4.426829268,8.192782867
CDGPTP,98773,4.618556701,7.008933231
MLHFDF,98689,5.0375,7.891528051
BODYUL,97085,4.592592593,8.899234568
BESFDF,96581,6.09375,10.0655856
WAWCDG,96300,4.399659864,8.706742309
CDGPNR,96205,3.830769231,9.393407683
LYSLIL,95841,3.438172043,7.252457364
MRSFCO,95215,3.409090909,7.215469777
CAYPTP,94507,4.402515723,8.594036444
TLSAMS,94280,3.654929577,7.64495837
CDGFIH,94118,4.765432099,8.730245263
YULCDG,93836.85,4.389380531,7.467016363
CDGMXP,92891,4.663212435,9.996779193
TLSJFK,92779,5.738317757,9.305564287
CFRLYS,92748,4.552429668,8.662462962
ORYLRT,92489,4.284182306,10.59225152
CDGSOF,91829,4.1953125,8.324691861
MRSAMS,91699,3.764534884,8.130290245
GIGCDG,91624,6.905660377,9.472630416
LILLYS,90855,3.983098592,8.427426432
LYSPRG,89177,3.789915966,6.228198689
SXBNTE,88754,3.581632653,7.540104754
ARNCDG,88318,5.688385269,10.01685623
SXBPTP,87292,6.051282051,9.878719438
